game_name,scenario,description_part,participant1_name,participant1_profile,participant2_name,participant2_profile,choice_a,choice_b,is_last_row
Stag_Hunt,Treasure_Diving,Two divers must decide whether to collaborate on retrieving a large treasure chest from the ocean,You,Certified diver,Bob,Certified diver,"('cooperate', 'Collaborate on Chest')","('defect', 'Solo Trinket Collection')",0
Stag_Hunt,Treasure_Diving,"floor or individually collect small trinkets. If both retrieve the chest, they succeed and share a",You,Certified diver,Bob,Certified diver,"('cooperate', 'Collaborate on Chest')","('defect', 'Solo Trinket Collection')",0
Stag_Hunt,Treasure_Diving,"large reward. If one retrieves the chest while the other collects trinkets, the chest retriever",You,Certified diver,Bob,Certified diver,"('cooperate', 'Collaborate on Chest')","('defect', 'Solo Trinket Collection')",0
Stag_Hunt,Treasure_Diving,"fails while the trinket collector gets a small reward. If both collect trinkets, they both get",You,Certified diver,Bob,Certified diver,"('cooperate', 'Collaborate on Chest')","('defect', 'Solo Trinket Collection')",0
Stag_Hunt,Treasure_Diving,moderate rewards.,You,Certified diver,Bob,Certified diver,"('cooperate', 'Collaborate on Chest')","('defect', 'Solo Trinket Collection')",1
Stag_Hunt,Software_Development,Two software developers must decide whether to collaborate on a major feature or individually work,You,Software developer,Bob,Software developer,"('cooperate', 'Collaborate on major feature')","('defect', 'Fix minor bugs')",0
Stag_Hunt,Software_Development,"on minor bug fixes. If both work on the feature, they succeed and receive a large reward. If one",You,Software developer,Bob,Software developer,"('cooperate', 'Collaborate on major feature')","('defect', 'Fix minor bugs')",0
Stag_Hunt,Software_Development,"works on the feature while the other works on bug fixes, the feature fails while the bug fixer gets",You,Software developer,Bob,Software developer,"('cooperate', 'Collaborate on major feature')","('defect', 'Fix minor bugs')",0
Stag_Hunt,Software_Development,"a small reward. If both work on bug fixes, they both receive moderate rewards.",You,Software developer,Bob,Software developer,"('cooperate', 'Collaborate on major feature')","('defect', 'Fix minor bugs')",1
Stag_Hunt,Environmental_Conservation,Two conservationists must decide whether to collaborate on a large conservation project or focus on,You,Dedicated conservationist,Bob,Dedicated conservationist,"('cooperate', 'Collaborate on large project')","('defect', 'Focus on individual initiative')",0
Stag_Hunt,Environmental_Conservation,"smaller individual initiatives. If both collaborate, they succeed and achieve significant",You,Dedicated conservationist,Bob,Dedicated conservationist,"('cooperate', 'Collaborate on large project')","('defect', 'Focus on individual initiative')",0
Stag_Hunt,Environmental_Conservation,"environmental impact. If one collaborates while the other focuses individually, the collaborator",You,Dedicated conservationist,Bob,Dedicated conservationist,"('cooperate', 'Collaborate on large project')","('defect', 'Focus on individual initiative')",0
Stag_Hunt,Environmental_Conservation,"fails while the individual achieves minor impact. If both focus individually, they both achieve",You,Dedicated conservationist,Bob,Dedicated conservationist,"('cooperate', 'Collaborate on large project')","('defect', 'Focus on individual initiative')",0
Stag_Hunt,Environmental_Conservation,moderate impact.,You,Dedicated conservationist,Bob,Dedicated conservationist,"('cooperate', 'Collaborate on large project')","('defect', 'Focus on individual initiative')",1
Stag_Hunt,Treasure_Hunt,Two treasure hunters must decide whether to collaborate on finding a hidden treasure chest or,You,Adventurous explorer,Bob,Seasoned navigator,"('cooperate', 'Collaborate for the hidden treasure')","('defect', 'Search for smaller treasures individually')",0
Stag_Hunt,Treasure_Hunt,"individually search for smaller treasures. If both collaborate, they succeed and share a large",You,Adventurous explorer,Bob,Seasoned navigator,"('cooperate', 'Collaborate for the hidden treasure')","('defect', 'Search for smaller treasures individually')",0
